time,created,member_id,event_id,offset,,,,
8/25/2011 18:30,7/31/2011 22:43,482161,27740321,-24.82371528,,,,
8/25/2011 18:30,7/31/2011 22:43,8990490,27740321,-24.8237037,,,,
8/25/2011 18:30,7/31/2011 22:43,10173172,27740321,-24.8237037,,,,
8/25/2011 18:30,7/31/2011 23:23,20471581,27740321,-24.79596065,,,,
8/25/2011 18:30,7/31/2011 23:32,13253387,27740321,-24.78974537,,,,
8/25/2011 18:30,8/1/2011 7:22,20981621,27740321,-24.46369213,,,,
8/25/2011 18:30,8/1/2011 19:56,13129584,27740321,-23.93990741,,,,
8/25/2011 18:30,8/1/2011 21:53,7791947,27740321,-23.85840278,,,,
8/25/2011 18:30,8/1/2011 22:26,11085947,27740321,-23.83596065,,,,
8/25/2011 18:30,8/2/2011 18:04,21710471,27740321,-23.01787037,,,,
8/25/2011 18:30,8/3/2011 8:21,12251810,27740321,-22.42268519,,,,
8/25/2011 18:30,8/3/2011 18:19,2891142,27740321,-22.00696759,,,,
8/25/2011 18:30,8/3/2011 21:20,21831441,27740321,-21.88178241,,,,
8/25/2011 18:30,8/3/2011 23:14,19190091,27740321,-21.80222222,,,,
8/25/2011 18:30,8/4/2011 11:48,14525059,27740321,-21.27876157,,,,
8/25/2011 18:30,8/4/2011 13:55,14589429,27740321,-21.19039352,,,,
8/25/2011 18:30,8/4/2011 15:37,20371091,27740321,-21.11952546,,,,
8/25/2011 18:30,8/5/2011 12:52,8827934,27740321,-20.23434028,,,,
8/25/2011 18:30,8/7/2011 22:51,17015941,27740321,-17.81853009,,,,
8/25/2011 18:30,8/9/2011 14:23,14333157,27740321,-16.17092593,,,,
8/25/2011 18:30,8/10/2011 11:32,13636931,27740321,-15.28979167,,,,
8/25/2011 18:30,8/10/2011 13:52,22416551,27740321,-15.19295139,,,,
8/25/2011 18:30,8/11/2011 21:28,16159541,27740321,-13.87626157,,,,
8/25/2011 18:30,8/18/2011 7:19,11271037,27740321,-7.465613426,,,,
8/25/2011 18:30,8/18/2011 13:48,21698301,27740321,-7.195243056,,,,
8/25/2011 18:30,8/18/2011 14:29,10346331,27740321,-7.166967593,,,,
8/25/2011 18:30,8/18/2011 14:50,14756541,27740321,-7.152546296,,,,
8/25/2011 18:30,8/18/2011 15:15,9972181,27740321,-7.135231481,,,,
8/25/2011 18:30,8/18/2011 15:22,21383321,27740321,-7.129965278,,,,
8/25/2011 18:30,8/18/2011 15:47,23084231,27740321,-7.112789352,,,,
8/25/2011 18:30,8/18/2011 16:12,23086951,27740321,-7.095543981,,,,
8/25/2011 18:30,8/20/2011 8:39,8514018,27740321,-5.410219907,,,,
8/25/2011 18:30,8/20/2011 15:48,10196022,27740321,-5.112071759,,,,
8/25/2011 18:30,8/22/2011 14:47,13761738,27740321,-3.154594907,,,,
8/25/2011 18:30,8/23/2011 14:35,521544,27740321,-2.162627315,,,,
8/25/2011 18:30,8/23/2011 19:57,9359531,27740321,-1.938958333,,,,
8/25/2011 18:30,8/24/2011 6:25,8411750,27740321,-1.503414352,,,,
8/25/2011 18:30,8/24/2011 12:58,13641969,27740321,-1.230451389,,,,
